order_number,order_type,department,order_date,inspection_date_started,inspection_date_completed,buyer_name,shipper_name,vessel_carrier,bill_of_lading,bill_of_lading_date,inspection_place,client_ref_code,client_trade_name,client_Name,client_address,client_address,client_address,contact_name,contact_phone,contact_email,commodity_name,item_description,quantity,unit_name
ICG,International,CG,5/8/2017,15/06/2017,22/07/2017,TBA,TBA,CONTS,,,HAI PHONG CITY,,AXA Insurance Pte Ltd,AXA Insurance Pte Ltd,"8 Shenton Way, #24-01 AXA Tower, Singapore 068811","9 Shenton Way, #24-01 AXA Tower, Singapore 068811","10 Shenton Way, #24-01 AXA Tower, Singapore 068811",,,,Corn,CORN,22,Cont(s)
ICG10-001,International,CG,6/1/2010,16/01/2010,,AT COMERCIAL S.A - CUBA,COMERCIAL WHITEHORN,CONTS,,,THAILAND,CMi10010016,COMERCIAL WHITEHORN,COMERCIAL WHITEHORN,,,,,,,SLICED PINEAPPLE IN OWN JUICE,SLICED PINEAPPLE IN OWN JUICE,1,Cont(s)
ICG10-002,International,CG,17/01/2010,20/01/2010,,ALIMPORT - CUBA,NGOC XUAN SEAFOOD CORPORATION,CONTS,,,TIEN GIANG PROVINCE,CMi10010114,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,BASA FILLET,BASA FILLET,2,Cont(s)
ICG10-003,International,CG,18/01/2010,27/01/2010,,.,KILANG MAKANAN - MAMEE SDN. BHD. ,CONTS,,,MALAYSIA,CMi1001-0172,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,FOODSTUFF,FOODSTUFF,1,Cont(s)
ICG10-004,International,CG,21/01/2010,5/2/2010,,CONSERVAS DE CAMBADOS S.A.,"S.P.A INTTERNATIONAL FOOD GROUP CO., LTD - THAILAND",CONTS,,,THAILAND,CMi09112047-2,S.I.S CUBACONTROL S.A,S.I.S CUBACONTROL S.A,"Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba","Calle Conill, No.580, Esq. 26, Nuevo Vedado, Plaza, C. La Habana, Cuba",,,,TUNA FISH IN OIL,TUNA FISH IN OIL,1900,Carton(s)
ICG10-005,International,CG,8/2/2010,23/03/2010,,QUIMIMPORT - HABANA CUBA,AGRIA SA,CONTS,,,,CMi1001-0209,AGRIA SA,AGRIA SA,"ASENOVGRADSKO SHOSE, 4009 PLOVIDV, BULGARIA, 4009 PLOVDIV","ASENOVGRADSKO SHOSE, 4009 PLOVIDV, BULGARIA, 4009 PLOVDIV","ASENOVGRADSKO SHOSE, 4009 PLOVIDV, BULGARIA, 4009 PLOVDIV",,,,CHEMICAL,"BENOMILO PH50, ZINEB PH75 & MANCOZEB PH80",1,Cont(s)
ICG11-001,International,CG,12/1/2011,,,ANERGOIMPORT - CUBA,AREVA T & D S.A,CONTS,,,PT. UNIDO - INDONESIA,CMi1012-3118_1,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,Transformer,POWER TRANSFORMERS,15,Cont(s)
ICG11-002,International,CG,27/01/2011,,,QUIMIMPORT - HABANA CUBA,AGRIA SA,CONTS,,,MALAYSIA,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,CHEMICAL,"BENOMILO PH50, MANCOZEB",10,Cont(s)
ICG11-003,International,CG,27/01/2011,,,BRICO-COOK S.L.,WISANKA RATTAN DIVISION,CONTS,,,INDONESIA,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,FURNITURE,HOME AND OFFICE FURNITURE,7,Cont(s)
ICG11-004,International,CG,27/01/2011,27/01/2011,27/01/2011,FROXA S.A.,KIEN GIANG SEA PRODUCT CORPORATION,CONTS,,,"AN LAC WH, BINH CHANH DIST., HCMC",,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,PANGASIUS FILLET,FROZEN PANGASIUS FILLETS,2,Cont(s)
ICG11-005,International,CG,8/2/2011,,,ANERGOIMPORT - CUBA,AREVA T & D S.A,CONTS,,,INDONESIA,CMi1012-3118_2,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,Transformer,POWER TRANSFORMERS,15,Cont(s)
ICG11-006,International,CG,9/2/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL (ECOIMPEX),CASABLANCA S.A,CONTS,,,INDONESIA,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,PAPER,"OFFSET WOODFREE PAPER, REAM 70 X 100  75 GMS",3,Cont(s)
ICG11-007,International,CG,9/2/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,PAPER,"OFFSET WOODFREE PAPER, REELS 75 GMS",19,Cont(s)
ICG11-008,International,CG,9/2/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,PAPER,"OFFSET WOODFREE PAPER, REAM 70 X100 80 GMS",1,Cont(s)
